Epoch	AvgRewardsLast100Ep	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals1	StdVVals1	MaxVVals1	MinVVals1	AverageVVals2	StdVVals2	MaxVVals2	MinVVals2	TotalEnvInteracts	LossPi1	LossPi2	LossV1	LossV2	DeltaLossPi1	DeltaLossPi2	DeltaLossV1	DeltaLossV2	Entropy1	Entropy2	KL1	KL2	ClipFrac1	ClipFrac2	StopIter1	StopIter2	Time
34	0.05222500115633011	0.051538456	0.04729362	0.1	0.0	23.384615	0.01402551	0.029357474	0.1367872	-0.0922698	0.019161744	0.03750959	0.15175366	-0.09096409	140000	1.3038516e-08	-5.5879354e-09	0.0010722345	0.00084850646	-0.028454103	-0.018482868	-0.00023327183	-0.00015777824	0.65597063	0.6402539	0.015284474	0.015107709	0.14025	0.13374999	26.0	13.0	166.62155604362488
35	0.055250003933906555	0.060696203	0.045772098	0.1	0.0	24.905064	0.016260255	0.029406846	0.18103501	-0.092445455	0.016694648	0.036266442	0.18874705	-0.10720352	144000	-1.6763806e-08	4.656613e-09	0.0010782513	0.0008910579	-0.036198176	-0.03181285	-0.00024192121	-0.00016952735	0.6481575	0.6391495	0.015940942	0.015040716	0.1685	0.14425	46.0	31.0	171.4927041530609
36	0.06064999848604202	0.06441558	0.04485166	0.1	0.0	25.61039	0.019454276	0.031881228	0.14334854	-0.094856225	0.01640536	0.03539449	0.1425451	-0.098123126	148000	-7.450581e-09	1.6763806e-08	0.0010673065	0.0008731591	-0.04294609	-0.010817008	-0.00020086982	-0.00016325228	0.632531	0.6263432	0.012737863	0.015630778	0.20325	0.12775001	79.0	5.0	176.47876000404358
37	0.06222499907016754	0.0614379	0.04555279	0.1	0.0	25.620914	0.019906014	0.030910077	0.15448318	-0.089328244	0.0184748	0.035435155	0.13694975	-0.09440472	152000	-1.6763806e-08	1.1175871e-08	0.000967867	0.0009197577	-0.010581003	-0.015112127	-0.00018886094	-0.00017226583	0.6173114	0.62452024	0.01982699	0.015100572	0.18425	0.117	6.0	9.0	181.32175207138062
38	0.060450002551078796	0.058374994	0.046595167	0.1	0.0	24.66875	0.019373279	0.03263669	0.15146235	-0.116295226	0.017177079	0.035196777	0.15531883	-0.09787509	156000	-1.7695129e-08	-5.5879354e-09	0.0010037101	0.0007258541	-0.0064902576	-0.02569781	-0.00017863298	-0.00016799678	0.6165334	0.62152135	0.019601148	0.0152440965	0.18325	0.15900001	6.0	18.0	186.2291431427002
39	0.05977500230073929	0.06441558	0.04419536	0.1	0.0	25.467533	0.0178086	0.031779036	0.17225137	-0.06170553	0.016444072	0.036500163	0.13004075	-0.093009695	160000	-2.3283064e-08	3.7252903e-09	0.00092136924	0.0006170897	-0.029078865	-0.023433018	-0.00014885448	-0.00014890386	0.6159843	0.616648	0.015106501	0.015103129	0.15675001	0.13075	28.0	18.0	191.0816159248352
40	0.06582500040531158	0.0706081	0.041723453	0.1	0.0	26.844595	0.018450938	0.031153334	0.12120414	-0.069653004	0.018365921	0.038916018	0.14116758	-0.13490579	164000	1.1175871e-08	3.7252903e-09	0.0009472607	0.0006437375	-0.024489358	-0.026144441	-0.00018818097	-0.00014618383	0.6082104	0.61704826	0.015438082	0.015389014	0.147	0.13800001	16.0	24.0	195.9074718952179
41	0.06799999624490738	0.067770265	0.04357071	0.1	0.0	26.547297	0.019216202	0.031228686	0.13945119	-0.07307957	0.021686504	0.039483782	0.15524313	-0.067194976	168000	-1.8626451e-08	8.381903e-09	0.0009086289	0.00091244455	-0.027983446	-0.010224604	-0.00018395369	-0.00021059636	0.6030657	0.6131099	0.015812486	0.01601977	0.16675	0.147	24.0	5.0	200.7253761291504
42	0.07250000536441803	0.076126754	0.037149273	0.1	0.0	27.838028	0.018809276	0.03287733	0.15475267	-0.0922152	0.021241894	0.03680083	0.13149816	-0.07881823	172000	-7.450581e-09	0.0	0.000792415	0.00071798713	-0.017717913	-0.040448368	-0.00017666882	-0.00017948245	0.60001457	0.6126824	0.016685823	0.013353383	0.12825	0.18075	12.0	79.0	205.60572600364685
43	0.07144999504089355	0.071399994	0.041085765	0.1	0.0	26.513334	0.019089988	0.032422002	0.15832841	-0.08178621	0.021954626	0.03941436	0.13838188	-0.09117372	176000	1.1175871e-08	-1.8626451e-09	0.0008399826	0.00055947027	-0.03836798	-0.022680685	-0.00017572279	-0.00013025985	0.59801584	0.5873133	0.015044918	0.015282664	0.18375	0.131	60.0	16.0	210.4954710006714
44	0.07302500307559967	0.07123287	0.041724645	0.1	0.0	26.965754	0.02054848	0.03273199	0.15646318	-0.062338717	0.020092553	0.038923744	0.13266523	-0.07908808	180000	3.7252903e-09	4.656613e-09	0.0009329149	0.0007021943	-0.01996819	-0.03310254	-0.00020662905	-0.00014530595	0.58310425	0.58779186	0.015486909	0.016029362	0.13225001	0.16700001	14.0	32.0	215.41307711601257
45	0.07330000400543213	0.07869565	0.03639211	0.1	0.0	28.333334	0.020443017	0.032683253	0.13368712	-0.059839502	0.020901814	0.038525898	0.13377355	-0.1435538	184000	9.313226e-09	-5.5879354e-09	0.00075486593	0.0006371137	-0.036285095	-0.020784562	-0.000181515	-0.00016624987	0.5805471	0.5774187	0.0154872965	0.016035296	0.1625	0.156	44.0	14.0	220.35050511360168
46	0.07577499747276306	0.07565517	0.03889533	0.1	0.0	27.434483	0.022389172	0.034719016	0.13733144	-0.06571375	0.021774972	0.041186683	0.14388806	-0.07490322	188000	-1.8626451e-09	-3.4924597e-09	0.0007328763	0.0005720408	-0.043482542	-0.014769737	-0.00014769557	-0.00014987122	0.56668955	0.5757566	0.015001882	0.016327245	0.21700001	0.143	68.0	10.0	225.30897998809814
47	0.07692500203847885	0.07666666	0.03758049	0.1	0.0	27.815603	0.020869095	0.03350766	0.15330122	-0.08090325	0.02243597	0.03974228	0.17283902	-0.076901756	192000	-1.4901161e-08	-2.4214387e-08	0.0006756878	0.00067983306	-0.023862246	-0.027322605	-0.00013269996	-0.00014951921	0.5368474	0.57418066	0.0154043995	0.01544253	0.14575	0.168	18.0	23.0	230.31446504592896
48	0.07635000348091125	0.07493055	0.038693894	0.1	0.0	27.4375	0.019273158	0.032967716	0.13495356	-0.10736077	0.023458416	0.039555237	0.1346807	-0.15638591	196000	1.3038516e-08	2.6077032e-08	0.0007380759	0.00058672985	-0.024966408	-0.03085407	-0.0001578927	-0.00014027332	0.53033286	0.56943786	0.017349992	0.015273933	0.18625	0.169	22.0	27.0	235.33099389076233
49	0.07765000313520432	0.0805	0.034128435	0.1	0.0	28.37143	0.020161621	0.033689164	0.14562309	-0.055611726	0.022659244	0.040863555	0.14482787	-0.0694606	200000	-7.450581e-09	3.7252903e-09	0.0006644855	0.00047057212	-0.023721619	-0.03426839	-0.0001539585	-0.000104517836	0.52316403	0.56800145	0.017933039	0.015006175	0.18125	0.19275	22.0	35.0	240.218670129776
50	0.0788000077009201	0.0787857	0.037003238	0.1	0.0	28.171429	0.027396068	0.036973212	0.14930403	-0.05517291	0.015044984	0.03882281	0.14715958	-0.09495473	204000	1.8626451e-09	3.7252903e-09	0.0007143558	0.00060011074	-0.0013133097	-0.031193608	-0.00016548681	-0.0001324059	0.5172812	0.5563105	0.018107098	0.015263053	0.1625	0.17825	1.0	25.0	245.12801218032837
51	0.07867500185966492	0.07856115	0.03617625	0.1	0.0	28.381294	0.022539847	0.035786893	0.14729744	-0.05537004	0.021672409	0.03843461	0.14470972	-0.094025835	208000	6.519258e-09	-7.450581e-09	0.00063243555	0.00052209967	0.0047371043	-0.019513983	-0.000113926995	-0.00013227777	0.5170112	0.5501675	0.019666841	0.015680222	0.1825	0.153	1.0	13.0	250.15635585784912
